country,nationality,countryId,urlCountry
Mali,Malian,97,https://www.countryflags.com/wp-content/uploads/mali-flag-png-large-300x200.png
Malta,Maltese,98,https://www.countryflags.com/wp-content/uploads/malta-flag-png-large-300x200.png
Mauritania,Mauritanian,99,https://www.countryflags.com/wp-content/uploads/mauritania-flag-jpg-xl-300x200.jpg
Mauritius,Mauritian,100,https://www.countryflags.com/wp-content/uploads/mauritius-flag-png-large-300x200.png
Mexico,Mexican,101,https://www.countryflags.com/wp-content/uploads/mexico-flag-png-large.png
Moldova,Moldovan,102,https://www.countryflags.com/wp-content/uploads/moldova-flag-png-large.png
Monaco,Monegasque,103,https://www.countryflags.com/wp-content/uploads/monaco-flag-png-large.png
Mongolia,Mongolian,104,https://www.countryflags.com/wp-content/uploads/mongolia-flag-png-large.png
Montenegro,Montenegrin,105,https://www.countryflags.com/wp-content/uploads/montenegro-flag-png-large.png
Morocco,Moroccan,106,https://www.countryflags.com/wp-content/uploads/morocco-flag-png-large-300x200.png
Mozambique,Mozambican,107,https://www.countryflags.com/wp-content/uploads/mozambique-flag-png-large-300x200.png
Myanmar see Burma,-,108,-
Namibia,Namibian,109,https://www.countryflags.com/wp-content/uploads/namibia-flag-png-large-300x200.png
Nepal,Nepalese,110,https://www.countryflags.com/wp-content/uploads/nepal-flag-png-large.png
"Netherlands, the (see Holland)",Dutch,111,-
New Zealand,New Zealander,112,https://www.countryflags.com/wp-content/uploads/new-zealand-flag-png-large.png
Nicaragua,Nicaraguan,113,https://www.countryflags.com/wp-content/uploads/nicaragua-flag-png-large.png
Niger,Nigerien,114,https://www.countryflags.com/wp-content/uploads/niger-flag-png-large.png
Nigeria,Nigerian,115,https://www.countryflags.com/wp-content/uploads/nigeria-flag-png-large.png
North Korea,North Korean,116,-
Norway,Norwegian,117,https://www.countryflags.com/wp-content/uploads/norway-flag-png-large.png
Oman,Omani,118,https://www.countryflags.com/wp-content/uploads/oman-flag-png-large.png
Pakistan,Pakistani,119,https://www.countryflags.com/wp-content/uploads/pakistan-flag-png-large-300x200.png
Panama,Panamanian,120,https://www.countryflags.com/wp-content/uploads/panama-flag-png-large-300x200.png
Papua New Guinea,Papua New Guinean or Guinean,121,https://www.countryflags.com/wp-content/uploads/papua-new-guinea-flag-png-large.png
Paraguay,Paraguayan,122,https://www.countryflags.com/wp-content/uploads/paraguay-flag-png-large.png
Peru,Peruvian,123,https://www.countryflags.com/wp-content/uploads/peru-flag-png-large-300x200.png
Philippines,Philippine or Filipino,124,https://www.countryflags.com/wp-content/uploads/philippines-flag-png-large.png
Poland,Polish,125,https://www.countryflags.com/wp-content/uploads/poland-flag-png-large.png
Portugal,Portuguese,126,https://www.countryflags.com/wp-content/uploads/portugal-flag-400-300x200.png
Qatar,Qatari,127,https://www.countryflags.com/wp-content/uploads/qatar-flag-png-large.png
Romania,Romanian,128,https://www.countryflags.com/wp-content/uploads/romania-flag-png-large-300x200.png
Russia,Russian,129,https://www.countryflags.com/wp-content/uploads/russia-flag-png-large-300x200.png
Rwanda,Rwandan,130,https://www.countryflags.com/wp-content/uploads/rwanda-flag-png-large-300x200.png
Saudi Arabia,Saudi Arabian or Saudi,131,https://www.countryflags.com/wp-content/uploads/saudi-arabia-flag-png-large-300x200.png
Scotland,Scottish,132,https://www.countryflags.com/wp-content/uploads/scotland-flag-jpg-xl-300x200.jpg
Senegal,Senegalese,133,https://www.countryflags.com/wp-content/uploads/senegal-flag-png-large-300x200.png
Serbia,Serb or Serbian,134,https://www.countryflags.com/wp-content/uploads/serbia-flag-png-large-300x200.png
"Seychelles, the",Seychellois,135,https://www.countryflags.com/wp-content/uploads/seychelles-flag-png-large.png
Sierra Leone,Sierra Leonian,136,https://www.countryflags.com/wp-content/uploads/sierra-leone-flag-png-large-300x200.png
Singapore,Singaporean,137,https://www.countryflags.com/wp-content/uploads/singapore-flag-png-large-300x200.png
Slovakia,Slovak,138,https://www.countryflags.com/wp-content/uploads/slovakia-flag-png-large-300x200.png
Slovenia,Slovene or Slovenian,139,https://www.countryflags.com/wp-content/uploads/slovenia-flag-png-large.png
Solomon Islands,-,140,https://www.countryflags.com/wp-content/uploads/solomon-islands-flag-png-large.png
Somalia,Somali,141,https://www.countryflags.com/wp-content/uploads/somalia-flag-png-large-300x200.png
South Africa,South African,142,https://www.countryflags.com/wp-content/uploads/south-africa-flag-png-large-300x200.png
South Korea,South Korean,143,-
Spain,Spanish,144,https://www.countryflags.com/wp-content/uploads/spain-flag-png-large-300x200.png
Sri Lanka,Sri Lankan,145,https://www.countryflags.com/wp-content/uploads/sri-lanka-flag-png-large.png
Sudan,Sudanese,146,https://www.countryflags.com/wp-content/uploads/sudan-flag-png-large.png
Suriname,Surinamese,147,https://www.countryflags.com/wp-content/uploads/suriname-flag-png-large-300x200.png
Swaziland,Swazi,148,https://www.countryflags.com/wp-content/uploads/swaziland-flag-png-large-300x200.png
Sweden,Swedish,149,https://www.countryflags.com/wp-content/uploads/sweden-flag-png-large.png
Switzerland,Swiss,150,https://www.countryflags.com/wp-content/uploads/switzerland-flag-png-large.png
Syria,Syrian,151,https://www.countryflags.com/wp-content/uploads/syria-flag-png-large-300x200.png
Taiwan,Taiwanese,152,https://www.countryflags.com/wp-content/uploads/taiwan-flag-png-large-300x200.png
Tajikistan,Tajik or Tadjik,153,https://www.countryflags.com/wp-content/uploads/tajikistan-flag-png-large.png
Tanzania,Tanzanian,154,https://www.countryflags.com/wp-content/uploads/tanzania-flag-png-large-300x200.png
Thailand,Thai,155,https://www.countryflags.com/wp-content/uploads/thailand-flag-png-large-300x200.png
Togo,Togolese,156,https://www.countryflags.com/wp-content/uploads/togo-flag-png-large.png
Trinidad and Tobago,Trinidadian Tobagan Tobagonian,157,https://www.countryflags.com/wp-content/uploads/trinidad-and-tobago-flag-png-large.png
Tunisia,Tunisian,158,https://www.countryflags.com/wp-content/uploads/tunisia-flag-png-large-300x200.png
Turkey,Turkish,159,https://www.countryflags.com/wp-content/uploads/turkey-flag-png-large-300x200.png
Turkmenistan,Turkmen or Turkoman,160,https://www.countryflags.com/wp-content/uploads/turkmenistan-flag-png-large-300x200.png
Tuvalu,Tuvaluan,161,https://www.countryflags.com/wp-content/uploads/tuvalu-flag-png-large.png
Uganda,Ugandan,162,https://www.countryflags.com/wp-content/uploads/uganda-flag-png-large-300x200.png
Ukraine,Ukrainian,163,https://www.countryflags.com/wp-content/uploads/ukraine-flag-png-large-300x200.png
United Arab Emirates,"UAE or Emirates (used attributively only, as in UAE buildings, Emirates holidays but not He is UAE, I am Emirates) or Emirati",164,https://www.countryflags.com/wp-content/uploads/united-arab-emirates-flag-png-large.png
United Kingdom,British,165,https://www.countryflags.com/wp-content/uploads/united-kingdom-flag-png-large.png
United States The,American,166,https://www.countryflags.com/wp-content/uploads/united-states-of-america-flag-png-large.png
Uruguay,Uruguayan,167,https://www.countryflags.com/wp-content/uploads/uruguay-flag-png-large-300x200.png
Uzbekistan,Uzbek,168,https://www.countryflags.com/wp-content/uploads/uzbekistan-flag-png-large.png
Vanuatu,Vanuatuan,169,-
Vatican City,-,170,https://www.countryflags.com/wp-content/uploads/vatican-city-flag-png-large.png
Venezuela,Venezuelan,171,https://www.countryflags.com/wp-content/uploads/venezuela-flag-png-large-300x200.png
Vietnam,Vietnamese,172,https://www.countryflags.com/wp-content/uploads/vietnam-flag-png-large-300x200.png
Wales,Welsh,173,https://www.countryflags.com/wp-content/uploads/wales-flag-jpg-xl.jpg
Western Samoa,Western Samoan,174,-
Yemen,Yemeni,175,https://www.countryflags.com/wp-content/uploads/yemen-flag-png-large-300x200.png
Yugoslavia,Yugoslav,176,-
Zaire,Zaïrean,177,-
Zambia,Zambian,178,https://www.countryflags.com/wp-content/uploads/zambia-flag-png-large-300x200.png
Zimbabwe,Zimbabwean,179,https://www.countryflags.com/wp-content/uploads/zimbabwe-flag-png-large.png
Rhodesia,Rhodesian,180,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Rhodesia_%281968%E2%80%931979%29.svg/255px-Flag_of_Rhodesia_%281968%E2%80%931979%29.svg.png
