circuitId,circuitRef,name,location,country,lat,lng,alt,url,url_img_circuits
45,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,609,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Hungaroring.svg/150px-Hungaroring.svg.png
46,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,485,http://en.wikipedia.org/wiki/Watkins_Glen_International,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Indianapolis_Motor_Speedway_-_road_course.svg/150px-Indianapolis_Motor_Speedway_-_road_course.svg.png
47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,153,http://en.wikipedia.org/wiki/Scandinavian_Raceway,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Istanbul_park.svg/150px-Istanbul_park.svg.png
48,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,332,http://en.wikipedia.org/wiki/Mosport,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Jeddah_Street_Circuit_2021.svg/150px-Jeddah_Street_Circuit_2021.svg.png
49,montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,79,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
50,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,139,http://en.wikipedia.org/wiki/Nivelles-Baulers,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Kyalami_1992_Layout.png/150px-Kyalami_1992_Layout.png
51,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,790,http://en.wikipedia.org/wiki/Charade_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Las_Vegas_Strip_Circuit_2023.png/150px-Las_Vegas_Strip_Circuit_2023.png
52,tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,214,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
53,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,81,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
54,lemans,Le Mans,Le Mans,France,47.95,0.224231,67,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
55,reims,Reims-Gueux,Reims,France,49.2542,3.93083,88,http://en.wikipedia.org/wiki/Reims-Gueux,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
56,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,15,http://en.wikipedia.org/wiki/Prince_George_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
57,zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478,676,http://en.wikipedia.org/wiki/Zeltweg_Airfield,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Mosport.svg/150px-Mosport.svg.png
58,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,20,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Circuit_Nivelles-Baulers.png/150px-Circuit_Nivelles-Baulers.png
59,boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,28,http://en.wikipedia.org/wiki/Circuito_da_Boavista,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
60,riverside,Riverside International Raceway,California,USA,33.937,-117.273,470,http://en.wikipedia.org/wiki/Riverside_International_Raceway,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Circuit_Pescara.svg/150px-Circuit_Pescara.svg.png
61,avus,AVUS,Berlin,Germany,52.4806,13.2514,53,http://en.wikipedia.org/wiki/AVUS,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Phoenix_Grand_Prix_Route_-_1991.svg/150px-Phoenix_Grand_Prix_Route_-_1991.svg.png
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,158,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Prince_George_Circuit.svg/150px-Prince_George_Circuit.svg.png
63,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,18,http://en.wikipedia.org/wiki/Sebring_Raceway,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
64,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,19,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Riverside_International_Raceway_1967.svg/150px-Riverside_International_Raceway_1967.svg.png
65,pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,129,http://en.wikipedia.org/wiki/Pescara_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,551,http://en.wikipedia.org/wiki/Circuit_Bremgarten,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,85,http://en.wikipedia.org/wiki/Pedralbes_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Sebring_International_Raceway_-_Historical_(1952).svg/150px-Sebring_International_Raceway_-_Historical_(1952).svg.png
68,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,194,http://en.wikipedia.org/wiki/Buddh_International_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sepang.svg/150px-Sepang.svg.png
69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Shanghai_International_Racing_Circuit_track_map.svg/150px-Shanghai_International_Racing_Circuit_track_map.svg.png
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,http://en.wikipedia.org/wiki/Red_Bull_Ring,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Silverstone_Circuit_vector_map.png/150px-Silverstone_Circuit_vector_map.png
71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,http://en.wikipedia.org/wiki/Sochi_Autodrom,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Circuit_Sochi.svg/150px-Circuit_Sochi.svg.png
73,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,http://en.wikipedia.org/wiki/Baku_City_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Suzuka_circuit_map--2005.svg/150px-Suzuka_circuit_map--2005.svg.png
75,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108,http://en.wikipedia.org/wiki/Algarve_International_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255,http://en.wikipedia.org/wiki/Mugello_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
77,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
78,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,12,http://en.wikipedia.org/wiki/Losail_International_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
79,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,0,http://en.wikipedia.org/wiki/Miami_International_Autodrome,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png
